Id,SalePrice
1461,122190.31
1462,161641.84
1463,181899.2
1464,185151.39
1465,187358.73
1466,169771.33
1467,176384.14
1468,161265.69
1469,184562.23
1470,123408.836
1471,193625.89
1472,95168.266
1473,96912.016
1474,151845.84
1475,129703.63
1476,379720.53
1477,260165.02
1478,286716.12
1479,284294.78
1480,470360.84
1481,308458.12
1482,195655.67
1483,160665.31
1484,170167.02
1485,173004.08
1486,191142.45
1487,352990.56
1488,235692.69
1489,198087.77
1490,202864.98
1491,188866.75
1492,94370.76
1493,183191.28
1494,313733.94
1495,302235.38
1496,231998.34
1497,176386.84
1498,160215.02
1499,157375.75
1500,145849.05
1501,180242.16
1502,141881.33
1503,303213.47
1504,239033.6
1505,221773.73
1506,191667.42
1507,259414.08
1508,209720.61
1509,172690.22
1510,144049.4
1511,143950.8
1512,166083.9
1513,149932.6
1514,181135.8
1515,202236.4
1516,167753.77
1517,154567.5
1518,139828.8
1519,217002.97
1520,132410.23
1521,134081.22
1522,165618.42
1523,110722.29
1524,130502.93
1525,125954.64
1526,125910.69
1527,99765.55
1528,143422.14
1529,149895.14
1530,164143.03
1531,111061.76
1532,91851.63
1533,139178.1
1534,131598.62
1535,149860.97
1536,107982.2
1537,66122.42
1538,179600.25
1539,191120.2
1540,100642.03
1541,150814.11
1542,128548.305
1543,240861.27
1544,81624.29
1545,111917.78
1546,113090.47
1547,115222.81
1548,136104.0
1549,112086.01
1550,127762.805
1551,110309.45
1552,124306.664
1553,152409.48
1554,120663.72
1555,169677.45
1556,83487.23
1557,108800.266
1558,101777.59
1559,83500.37
1560,115622.055
1561,144406.88
1562,132475.02
1563,125958.01
1564,151976.81
1565,142454.42
1566,247684.34
1567,78076.01
1568,231999.0
1569,135610.5
1570,135779.64
1571,130476.67
1572,152265.66
1573,243965.31
1574,120742.45
1575,207922.31
1576,214863.17
1577,194040.14
1578,153024.97
1579,150675.53
1580,200771.33
1581,151250.69
1582,131519.95
1583,320340.66
1584,223136.38
1585,142784.25
1586,80567.086
1587,101359.53
1588,150878.84
1589,98268.76
1590,137885.5
1591,95353.77
1592,121150.66
1593,126089.61
1594,114847.29
1595,101617.56
